size,beds,baths,age,dist_city,garage,school,price
2100,3,2,10,5.0,1,8,350
1500,2,1,20,15.0,0,6,220
3200,5,3,5,3.0,1,9,520
900,1,1,40,25.0,0,4,150
2500,4,2,8,8.0,1,7,410
1800,3,2,30,20.0,0,5,260
3500,5,4,2,2.0,1,10,600
1200,2,1,35,28.0,0,3,180
2800,4,3,12,6.0,1,8,450
2000,3,2,15,12.0,1,7,320
1600,2,1,25,18.0,0,5,240
3000,4,3,7,4.0,1,9,490
1100,2,1,45,30.0,0,3,160
2700,4,2,10,7.0,1,8,430
1900,3,2,18,14.0,0,6,280
3800,5,4,3,1.5,1,10,650
1300,2,1,38,26.0,0,4,190
2400,3,2,9,9.0,1,7,380
1700,3,2,22,16.0,0,5,270
3100,5,3,6,3.5,1,9,510
850,1,1,50,35.0,0,2,130
2600,4,3,11,6.5,1,8,420
1400,2,1,32,22.0,0,4,210
3400,5,4,4,2.5,1,10,580
2200,3,2,13,10.0,1,7,360
1650,3,1,28,19.0,0,5,265
2900,4,3,8,5.0,1,9,470
1050,2,1,42,29.0,0,3,170
2350,3,2,14,11.0,1,7,375
1750,3,2,24,17.0,0,6,290
3600,5,4,1,1.0,1,10,670
1250,2,1,36,27.0,0,3,195
2450,4,2,10,8.5,1,8,395
1850,3,2,20,13.0,0,6,285
3300,5,3,5,3.0,1,9,530
950,1,1,48,33.0,0,2,140
2650,4,3,9,6.0,1,8,425
1550,2,1,30,21.0,0,5,250
3050,4,3,6,4.0,1,9,480
2050,3,2,16,12.5,1,7,340
1450,2,1,33,23.0,0,4,225
2750,4,3,11,7.0,1,8,440
1150,2,1,44,31.0,0,3,175
3450,5,4,3,2.0,1,10,590
2150,3,2,12,9.5,1,7,355
1950,3,2,19,14.5,0,6,295
3150,5,3,6,3.5,1,9,515
1350,2,1,37,25.5,0,4,215
2550,4,2,10,8.0,1,8,400
1000,1,1,47,34.0,0,2,145
