credit_score,annual_income,debt_to_income,years_employed,label
414,24.5,0.3,7,1
389,126.3,0.08,2,0
523,61.9,0.59,17,1
729,59.7,0.58,25,0
306,156.6,0.19,13,0
644,38.4,0.39,11,1
652,128.7,0.78,23,0
687,34.2,0.31,20,0
670,123.9,0.68,1,0
381,174.0,0.83,12,1
584,101.6,0.8,5,1
573,146.3,0.67,2,1
475,116.1,0.27,14,0
524,143.2,0.81,24,1
357,61.2,0.08,10,1
622,58.3,0.5,28,0
769,45.7,0.18,23,0
738,181.6,0.41,7,0
441,111.7,0.13,1,1
463,162.6,0.43,2,0
694,88.7,0.95,16,1
311,142.5,0.15,28,0
849,155.2,0.74,10,0
764,20.6,0.7,23,1
569,194.9,0.74,16,1
605,171.5,0.51,6,0
456,87.3,0.2,30,0
300,127.8,0.49,3,1
671,178.2,0.8,9,0
380,35.4,0.49,2,1
845,157.9,0.17,15,0
840,177.0,0.43,6,0
505,148.3,0.41,21,0
829,101.3,0.27,2,0
646,23.8,0.55,18,1
360,61.2,0.86,27,1
638,32.8,0.26,21,0
784,63.7,0.48,13,0
494,37.0,0.64,11,1
355,141.2,0.94,3,1
362,92.5,0.36,27,1
849,100.8,0.43,8,0
773,65.0,0.88,14,1
400,29.1,0.95,26,1
315,194.4,0.88,27,1
792,58.5,0.41,1,1
468,88.2,0.94,8,1
592,96.1,0.91,25,0
798,47.9,0.32,30,0
362,154.6,0.1,18,0
788,110.5,0.82,5,1
490,32.3,0.11,27,0
540,92.7,0.9,18,1
383,95.5,0.58,16,1
623,188.2,0.23,22,0
434,140.9,0.32,10,1
374,21.7,0.61,18,1
518,111.1,0.17,11,0
370,178.3,0.38,5,0
609,130.1,0.94,20,1
841,21.4,0.79,9,1
437,67.6,0.85,23,1
459,69.0,0.59,22,1
570,111.0,0.28,29,0
352,36.6,0.43,8,1
433,134.7,0.29,23,0
752,119.3,0.43,0,1
452,118.2,0.8,18,1
451,97.4,0.09,11,1
340,181.8,0.24,7,0
405,83.7,0.55,27,0
458,186.6,0.26,5,0
481,178.7,0.07,23,0
721,164.4,0.83,25,0
554,68.0,0.76,3,1
781,60.0,0.78,14,1
658,74.9,0.77,7,1
708,79.1,0.83,30,1
585,83.2,0.51,21,1
328,40.8,0.92,5,1
571,26.9,0.59,11,1
823,40.8,0.86,6,1
560,28.0,0.44,16,1
501,85.6,0.11,21,0
638,132.2,0.65,3,1
616,140.0,0.34,22,0
602,119.8,0.22,21,0
478,130.8,0.32,17,0
300,74.7,0.24,25,0
776,99.5,0.66,16,0
784,162.9,0.91,23,0
827,139.5,0.61,2,0
540,141.1,0.25,6,0
786,130.0,0.74,14,0
724,179.5,0.57,22,0
549,46.6,0.67,28,0
409,160.1,0.25,25,0
351,120.3,0.88,3,1
767,44.0,0.47,16,0
753,130.3,0.7,16,0
736,169.5,0.54,28,0
760,66.7,0.27,20,0
583,157.8,0.52,20,0
592,62.2,0.35,28,0
382,44.9,0.26,22,1
724,93.4,0.54,13,0
363,57.2,0.43,28,1
320,174.2,0.74,12,0
788,21.1,0.37,24,0
729,116.9,0.71,25,0
525,107.9,0.3,15,0
714,150.4,0.81,29,0
430,196.5,0.53,29,0
327,35.1,0.44,27,1
772,52.7,0.28,10,0
688,70.1,0.91,13,1
558,170.3,0.47,23,0
658,60.4,0.11,30,0
341,155.8,0.9,6,1
544,42.7,0.65,18,1
523,103.7,0.28,11,0
417,160.0,0.2,9,0
410,124.2,0.89,18,1
706,189.5,0.23,18,0
548,38.3,0.75,27,1
342,82.5,0.44,11,1
370,111.1,0.36,27,0
743,192.9,0.62,26,0
770,147.3,0.44,23,0
795,103.7,0.79,18,0
574,78.0,0.27,29,0
549,155.1,0.56,21,0
688,80.6,0.49,10,0
564,81.3,0.84,22,1
582,120.0,0.51,6,1
800,119.9,0.27,15,0
802,100.7,0.07,9,0
613,139.5,0.38,17,0
843,81.9,0.95,17,0
577,75.2,0.26,23,0
497,76.8,0.72,30,1
521,152.9,0.3,18,0
837,127.4,0.93,26,0
483,74.4,0.69,4,1
580,28.2,0.1,9,0
802,38.5,0.06,9,0
780,106.2,0.36,30,0
789,40.5,0.11,15,0
375,123.9,0.67,4,1
611,35.3,0.27,17,0
726,129.1,0.76,7,0
753,73.5,0.58,13,0
612,122.4,0.1,30,0
512,132.6,0.29,2,0
460,63.2,0.55,5,1
781,72.4,0.26,22,0
589,146.5,0.46,21,0
502,96.5,0.54,20,1
452,183.5,0.79,2,1
595,99.0,0.47,9,1
712,189.7,0.5,15,0
742,152.2,0.59,0,0
393,61.2,0.66,27,0
575,123.7,0.74,5,1
781,113.4,0.45,8,0
803,194.4,0.47,13,0
641,77.8,0.14,5,0
